Betrieb;Rechnung;Rechnungsdatum;Betrag;Zahlung_am;Zahlung_Beleg;Ueberschuss_Betrieb
Raetia;011_2021_01_08_0138_00010230;2021-01-08;102.30;;kein betragsgleicher Treffer;322.85
Raetia;011_2021_04_19_0138_00006785;2021-04-19;67.85;;kein betragsgleicher Treffer;322.85
Raetia;011_2021_06_18_0138_00010230;2021-06-18;102.30;;kein betragsgleicher Treffer;322.85
Robinson Club;2026-04-0161;2025-12-12;139.45;;kein betragsgleicher Treffer;2770.17
Robinson Club;2026-04-0297;2026-01-27;107.00;2026-03-02;020_2026_03_02_0003_00010700;2770.17
Rotliechtli;011_2021_11_11_0230_00010230;2021-11-11;102.30;;kein betragsgleicher Treffer;170.15
Rovanada;2026-04-0203;2026-01-02;126.50;;kein betragsgleicher Treffer;239.90
Seehof;011_2024_01_23_0076_00007460;2024-01-23;74.60;2024-04-10;020_2024_04_10_0076_00007460;149.20
Seehof;011_2025_11_24_0076_00007460;2025-11-24;74.60;2026-02-19;020_2026_02_19_0076_00007460;149.20
Sil Plaz;2026-04-0207;2026-01-05;94.05;2026-01-15;020_2026_01_15_0704_00009405;188.10
Sil Plaz;2026-04-0415;2026-03-07;94.05;2026-03-10;020_2026_03_10_0704_00009405;188.10
Skihuette Selfranga;2026-04-0194;2025-12-24;74.60;2025-12-24;020_2025_12_24_0150_00007460;149.20
Skihuette Selfranga;2026-04-0310;2026-02-03;74.60;2026-02-03;020_2026_02_03_0150_00007460;149.20
Sonne;011_2019_10_02_0153_00006785;2019-10-02;67.85;2019-10-17;020_2019_10_17_0226_00006785;188.10
Sonne;2026-04-0214;2026-01-08;94.05;2026-01-09;020_2026_01_09_0733_00009405;188.10
Sonne Seehotel;2026-04-0213;2026-01-08;94.05;2026-02-02;020_2026_02_02_0726_00009405;94.05
Spescha;2026-04-0124;2025-12-03;131.90;2025-12-11;020_2025_12_11_0169_00013190;395.70
Spescha;2026-04-0238;2026-01-15;131.90;2026-01-30;020_2026_01_30_0169_00013190;395.70
Spescha;2026-04-0374;2026-02-23;131.90;2026-03-05;020_2026_03_05_0169_00013190;395.70
Sportrestaurant Obere Au;011_2023_12_21_0664_00007430;2023-12-21;74.30;;kein betragsgleicher Treffer;149.20
Sportrestaurant Obere Au;2026-04-0157;2025-12-10;74.60;2025-12-19;020_2025_12_19_0664_00007460;149.20
Stadtcafe;2026-04-0292;2026-01-23;157.80;2026-01-30;020_2026_01_30_0717_00015780;157.80
Stau;011_2025_07_18_0732_00009405;2025-07-18;94.05;2025-07-21;020_2025_07_21_0749_00009405;94.05
Steak House & Pizzeria;011_2023_08_02_0644_00007430;2023-08-02;74.30;;kein betragsgleicher Treffer;229.80
Steak House & Pizzeria;011_2024_04_25_0644_00007460;2024-04-25;74.60;2024-06-07;020_2024_06_07_0644_00007460;229.80
Steak House & Pizzeria;011_2024_10_23_0644_00007460;2024-10-23;74.60;2025-09-16;020_2025_09_16_0644_00007460;229.80
Strela;011_2021_11_25_0083_00006785;2021-11-25;67.85;2022-09-01;020_2022_09_01_0083_00006785;1025.20
Strela;011_2022_01_13_0083_00006785;2022-01-13;67.85;2022-09-01;020_2022_09_01_0083_00006785;1025.20
Strela;011_2022_02_17_0083_00006785;2022-02-17;67.85;2022-09-01;020_2022_09_01_0083_00006785;1025.20
Strela;011_2022_03_23_0083_00006785;2022-03-23;67.85;2022-09-01;020_2022_09_01_0083_00006785;1025.20
Strela;011_2022_04_19_0083_00006785;2022-04-19;67.85;2022-09-01;020_2022_09_01_0083_00006785;1025.20
Surselva;2026-04-0234;2026-01-16;94.05;2026-01-21;020_2026_01_21_0378_00009405;511.35
Surselva;2026-04-0386;2026-02-26;94.05;2026-03-02;020_2026_03_02_0378_00009405;511.35
Swissheidi;011_2024_07_04_0490_00007460;2024-07-04;74.60;2024-08-28;020_2024_08_28_0490_00007460;155.95
Swissheidi;2026-04-0128;2025-12-03;74.60;2025-12-10;020_2025_12_10_0490_00007460;155.95
Tgantieni;011_2019_08_06_0178_00006785;2019-08-06;67.85;2019-09-13;020_2019_09_13_0178_00006785;313.60
Tgantieni;011_2020_01_03_0178_00010230;2020-01-03;102.30;2020-02-10;020_2020_02_10_0178_00010230;313.60
Tgantieni;2026-04-0122;2025-12-02;74.60;2025-12-08;020_2025_12_08_0178_00007460;313.60
Toedi;011_2021_09_08_0141_00006785;2021-09-08;67.85;2021-09-08;020_2021_09_08_0141_00006785;149.80
Toedi;011_2023_04_26_0141_00007430;2023-04-26;74.30;2023-07-03;020_2023_07_03_0141_00007430;149.80
Triel;2026-04-0168;2025-12-13;94.05;2026-01-21;020_2026_01_21_0774_00009405;279.15
Triel;2026-04-0283;2026-01-21;94.05;2026-01-21;020_2026_01_21_0774_00009405;279.15
Twelve;2026-04-0129;2025-12-04;94.05;2025-12-10;020_2025_12_10_0460_00009405;282.15
Twelve;2026-04-0265;2026-01-19;94.05;2026-01-27;020_2026_01_27_0460_00009405;282.15
Twelve;2026-04-0393;2026-03-02;94.05;2026-03-03;020_2026_03_03_0460_00009405;282.15
Valata;2026-04-0183;2025-12-19;74.60;2026-01-06;020_2026_01_06_0203_00007460;149.20
Valata;2026-04-0328;2026-02-07;74.60;2026-02-16;020_2026_02_16_0203_00007460;149.20
Valentinos;011_2023_08_15_0035_00007430;2023-08-15;74.30;2023-10-10;020_2023_10_10_0035_00007430;223.80
Valentinos;011_2024_12_23_0035_00007460;2024-12-23;74.60;2025-02-18;020_2025_02_18_0035_00007460;223.80
Valentinos;011_2025_04_10_0035_00007460;2025-04-10;74.60;2025-06-05;020_2025_06_05_0035_00007460;223.80
Vereina;2026-04-0309;2026-02-03;74.60;2026-02-13;020_2026_02_13_0511_00007460;74.60
Vincenz;2026-04-0160;2025-12-11;74.60;2026-01-12;020_2026_01_12_0381_00007460;149.20
Vincenz;2026-04-0254;2026-01-13;74.60;2026-02-02;020_2026_02_02_0381_00007460;149.20
Weissfluhgipfel;011_2025_11_25_0069_00007460;2025-11-25;74.60;2026-02-13;020_2026_02_13_0069_00007460;74.60
Weissfluhjoch;011_2020_10_16_0068_00013680;2020-10-16;136.80;;kein betragsgleicher Treffer;178.35
